City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
289,Parlakimidi,IN,61.34,clear sky,18.7667,84.0833,APEPDCL
290,Port Hawkesbury,CA,35.01,light rain,45.6169,-61.3485,MacKenzie House Tourist Home B&B
291,Raudeberg,NO,24.8,clear sky,61.9875,5.1352,Nordre Silda.
292,Saint-Francois,FR,45.0,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
294,Bilma,NE,59.41,clear sky,18.6853,12.9164,Expeditions Ténére voyages
296,Portland,US,45.0,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
297,Forestville,US,39.2,clear sky,38.8451,-76.875,Quality Inn
298,Sennoy,RU,36.39,overcast clouds,52.1509,46.9631,Guesthouse Sennoi na Zelenoi
300,Narsaq,GL,14.0,overcast clouds,60.9167,-46.05,Hotel Narsaq
302,Ahipara,NZ,69.73,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
303,Krasnyy Chikoy,RU,13.12,overcast clouds,50.3643,108.7512,Persona
313,Chapais,CA,15.8,clear sky,49.7834,-74.8492,Hôtel Opémiska
315,Young,UY,69.01,clear sky,-32.6833,-57.6333,Posada Gira el Sol
319,Saint Anthony,US,14.0,clear sky,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
320,Naze,JP,66.2,few clouds,28.3667,129.4833,奄美ポートタワーホテル
322,Burnie,AU,68.0,moderate rain,-41.0667,145.9167,Beachfront Voyager Motor Inn
325,Ushtobe,KZ,26.62,overcast clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
327,Abalak,RU,13.96,light snow,58.1286,68.5944,Туристический комплекс Абалак
332,Kaifeng,CN,50.0,clear sky,34.7911,114.3483,Pullman Kaifeng Jianye
333,Berlevag,NO,28.45,light snow,70.8578,29.0864,Kvitbrakka
334,Mayo,US,37.99,clear sky,38.8876,-76.5119,Resorts Resource Group International
336,Hun,LY,55.99,clear sky,29.1268,15.9477,Alrwasi Hotel
338,Waitati,NZ,57.0,overcast clouds,-45.75,170.5667,Arden Country House BnB Dunedin
342,Kattivakkam,IN,69.8,mist,13.2167,80.3167,Raj's villa
343,Erenhot,CN,20.53,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
344,Klaksvik,FO,32.0,light snow,62.2266,-6.5889999999999995,Airbnb rooms
345,Chuzhou,CN,46.99,overcast clouds,32.3219,118.2978,GreenTree Inn Chuzhou Langya Mountain Scenic Area Xijian Road Business Hotel
347,Reconquista,AR,69.01,clear sky,-29.15,-59.65,Grand Hotel
348,Roald,NO,23.0,clear sky,62.5833,6.1333,Flem Cabins
350,Mehran,IR,44.6,overcast clouds,33.1222,46.1646,بوتیک زنانه بهار
351,Bozeman,US,28.99,light snow,45.6796,-111.0386,Homewood Suites by Hilton Bozeman
352,Ferrol,ES,50.0,overcast clouds,43.4832,-8.2369,Carrís Almirante
354,Nara,JP,50.0,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
355,Dongsheng,CN,26.38,clear sky,39.8161,109.9776,Crowne Plaza Ordos
357,Sherman,US,50.0,clear sky,33.6357,-96.6089,La Quinta Inn & Suites by Wyndham Sherman
361,Mashhad,IR,37.4,clear sky,36.297,59.6062,Khanye Sabz Hotel
363,Waipawa,NZ,60.01,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
365,Uspenka,UA,44.44,overcast clouds,48.3903,39.1619,"Санаторий-профилакторий ""Парус"""
369,Umm Lajj,SA,69.08,clear sky,25.0213,37.2685,Moon light Furnished Units
